date,Open,High,Low,Close,Adjusted_Close,Volume,Dividend_Amount,Split_Coefficient,MAMA,FAMA,TRIX,CMO,MACD,MACD_Signal,MACD_Hist,MIDPOINT,APO,T3,MIDPRICE,KAMA,TRIMA,MFI,ATR,WILLR,NATR,DEMA,ROC,DX,Aroon Down,Aroon Up,Chaikin A/D,TRANGE,ADOSC,OBV,WMA,ULTOSC,AROONOSC,TEMA,ADXR,MOM,BOP,SAR,PPO,ROCR,Forward_Return,Return_Target
1/3/2017,75.84,76.63,74.9,75.92,63.48227909,1270571,0,1,58.6629,58.148,0.2217,12.4323,0.3847,0.6595,-0.2748,63.5052,0.3847,64.4434,63.2519,62.5864,63.7731,60.2718,1.0714,-42.4417,1.6877,63.9945,2.4017,16.1937,10,20,307313703.1,1.4466,-271380.443,91124950,63.6075,42.174,10,63.4412,29.5211,1.4889,0.0462,64.6153,0.6083,1.024,0.016596417,1
1/4/2017,76.27,77.35,76.1806,77.18,64.53585748,980570,0,1,58.7217,58.1509,0.2128,20.7719,0.3248,0.6013,-0.2765,63.6215,0.3248,64.4708,63.2519,62.6552,63.7664,58.6897,1.0776,-7.8821,1.6698,64.1559,3.4084,22.4813,5,15,308009175,1.1957,-3855.3284,92105520,63.6936,47.5718,10,63.6915,29.4322,2.1271,0.7782,62.6294,0.5129,1.0341,0.003887017,0
1/5/2017,77.27,78.02,76.83,77.48,64.78670948,2053765,0,1,58.7823,58.1541,0.2055,22.6189,0.3017,0.5363,-0.2346,63.8377,0.3017,64.4949,63.7653,62.7312,63.7571,67.4791,1.0735,-15.328,1.657,64.337,3.4249,27.7882,0,100,308199018.8,0.995,166342.1013,94159285,63.7934,46.414,100,63.9596,29.6045,2.1454,0.1765,62.6294,0.4757,1.0342,0.000258131,0
1/6/2017,77.62,77.9,76.97,77.5,64.80343295,1112245,0,1,58.8425,58.1575,0.1995,22.7453,0.2535,0.4638,-0.2103,63.846,0.2535,64.5188,63.9338,62.7636,63.7458,66.4344,1.0587,-16.6667,1.6337,64.4923,1.4471,27.7882,0,95,308354493.9,0.7776,270315.6657,95271530,63.8846,46.057,95,64.1805,29.8986,0.9244,-0.129,62.6816,0.3988,1.0145,-0.011483871,0
1/9/2017,77.32,78.33,76.53,76.61,64.05923868,1233271,0,1,58.8947,58.1612,0.1933,14.0219,0.2134,0.3958,-0.1824,63.846,0.2134,64.5417,64.0634,62.7766,63.7398,59.9731,1.081,-50.1458,1.6875,64.4873,-0.8397,21.7245,80,100,307230847,1.5051,-69247.8629,94038259,63.9006,45.5336,20,64.1644,30.0265,-0.5425,-0.3944,62.7327,0.3353,0.9916,0.009398251,0
1/10/2017,76.82,77.63,76.55,77.33,64.66128348,1021686,0,1,58.9524,58.1651,0.1878,18.9284,0.1693,0.3379,-0.1686,63.846,0.1693,64.5652,64.0634,62.795,63.7497,65.7752,1.0721,-29.1545,1.6581,64.5885,0.8312,21.7245,75,95,307684929.6,0.9031,-57384.1068,95059945,63.9764,48.8676,20,64.3033,30.0886,0.5331,0.4722,62.8156,0.2655,1.0083,0.02250097,1
1/11/2017,77.59,79.15,77.445,79.07,66.11622507,1656680,0,1,59.024,58.1694,0.1848,29.2055,0.2295,0.302,-0.0725,64.5024,0.2295,64.5956,64.4063,62.9173,63.7803,72.1626,1.0946,-1.8824,1.6556,64.936,3.4888,33.7564,70,100,309186144.1,1.5218,430345.1212,96716625,64.1883,56.3205,30,64.7903,30.4483,2.2289,0.868,62.8961,0.3591,1.0349,-0.009485266,0
1/12/2017,78.71,79.23,76.9922,78.32,65.48909508,1367478,0,1,59.0887,58.174,0.1827,22.1782,0.2337,0.2746,-0.0409,64.5024,0.2337,64.6342,64.4397,62.9567,63.8311,65.8075,1.1334,-21.0162,1.7307,65.1173,1.6219,27.6058,65,100,309441453.9,1.8712,671983.3725,95349147,64.3299,56.9878,35,65.021,30.3467,1.0452,-0.1743,63.0276,0.365,1.0162,-0.005490296,0
1/13/2017,78.32,78.66,77.6,77.89,65.12954054,857871,0,1,59.1491,58.1789,0.1807,18.2953,0.2362,0.2608,-0.0245,64.5024,0.2362,64.6799,64.4397,63.0274,63.9113,68.8344,1.1211,-30.9469,1.7213,65.2039,2.9746,27.6058,60,95,309052984,0.8863,586141.932,94491276,64.4322,52.5824,35,65.1097,30.1049,1.8814,-0.4057,63.1887,0.3684,1.0297,-0.012196688,0
1/17/2017,77.8,77.899,76.86,76.94,64.33517588,1475855,0,1,59.2009,58.184,0.1775,10.1541,0.3134,0.2528,0.0606,64.5024,0.3134,64.7282,64.4397,63.0335,64.0056,61.4044,1.1085,-52.8868,1.723,65.1301,0.0911,17.797,55,90,307804402.2,0.8688,100463.3048,93015421,64.4499,48.2982,35,64.9691,29.6777,0.0585,-0.8277,63.3418,0.4887,1.0009,0.003249285,0
1/18/2017,77.21,77.54,76.82,77.19,64.54421921,1265844,0,1,59.2544,58.1894,0.1737,11.8349,0.432,0.2648,0.1673,64.5024,0.432,64.7769,64.4397,63.0587,64.1221,53.0303,1.0832,-47.1132,1.6782,65.1003,1.5257,17.284,50,85,307839564.5,0.602,-96168.4188,94281265,64.4873,47.9714,35,64.9017,29.2484,0.97,-0.0278,63.4872,0.6736,1.0153,-0.015157404,0
1/19/2017,77.33,77.5,75.825,76.02,63.56589642,1933445,0,1,59.2975,58.1949,0.1679,2.3979,0.5101,0.2879,0.2222,64.5024,0.5101,64.8204,64.4397,63.0615,64.2307,50.4043,1.099,-74.1339,1.729,64.8934,-0.2493,5.2796,45,80,306356294.7,1.4006,-639815.5506,92347820,64.4268,48.6982,35,64.5873,28.6087,-0.1589,-0.7821,66.25,0.7956,0.9975,0.009471192,0
1/20/2017,76.5,77.61,76.02,76.74,64.16794122,2366996,0,1,59.3462,58.2007,0.1616,7.4565,0.5564,0.3216,0.2349,64.5024,0.5564,64.8573,64.4397,63.0699,64.3262,54.1169,1.1105,-57.5058,1.7307,64.8212,0.6162,6.3945,40,75,306132993.2,1.3295,-875102.0802,94714816,64.4245,46.984,35,64.482,28.0745,0.393,0.1509,66.2215,0.8677,1.0062,0.00039093,0
1/23/2017,76.9,77.39,76.24,76.77,64.19302642,1018590,0,1,59.3947,58.2066,0.155,7.6663,0.5375,0.3576,0.1799,64.5024,0.5375,64.8872,64.4397,63.0776,64.407,54.6808,1.1031,-56.8129,1.7184,64.7608,0.4974,6.3945,35,70,306053277.5,0.9616,-917165.0247,95733406,64.4227,41.7953,35,64.3998,27.4257,0.3177,-0.113,66.1934,0.8383,1.005,0.018887586,1
1/24/2017,77.27,78.55,77.01,78.22,65.40547774,1293911,0,1,59.4548,58.2129,0.1498,17.2184,0.5061,0.395,0.1111,64.5024,0.5061,64.9143,64.4397,63.1431,64.4916,58.5524,1.1224,-23.3256,1.716,64.9261,3.0159,17.7122,30,65,306792655.2,1.4884,-615737.4089,97027317,64.5348,44.6067,35,64.6451,27.0924,1.9148,0.6169,66.1654,0.7883,1.0302,0.014957811,1
1/25/2017,78.57,79.46,78.08,79.39,66.38380054,1630437,0,1,59.5241,58.2194,0.147,23.9048,0.5568,0.4314,0.1254,64.6362,0.5568,64.9451,64.5359,63.2564,64.5867,60.357,1.1239,-1.5351,1.6931,65.2432,3.6964,25.1823,25,100,308257685.6,1.1539,29696.0363,98657754,64.731,50.329,75,65.0977,27.0068,2.3664,0.5942,63.4028,0.8661,1.037,0.01133644,1
1/26/2017,79.39,80.48,78.87,80.29,67.13635653,2245713,0,1,59.6002,58.2263,0.147,28.5761,0.6762,0.4805,0.1957,65.0125,0.6762,64.9864,64.9623,63.4447,64.6852,63.0968,1.1351,-3.405,1.6907,65.6497,4.9817,32.4205,20,100,309973354.5,1.3462,836932.0136,100903467,64.9876,57.776,80,65.6596,26.884,3.1858,0.559,63.4332,1.0497,1.0498,-0.032258065,0
1/27/2017,76.59,78.46,74.78,77.7,64.97066761,3752275,0,1,59.6539,58.2335,0.1458,8.4156,0.654,0.5269,0.1271,65.0125,0.654,65.0338,64.9121,63.4755,64.7593,56.4413,1.3087,-48.7719,2.0142,65.603,2.805,5.9746,100,95,312175776.8,4.6073,1791850.911,97151192,65.0227,55.9927,-5,65.5518,26.0401,1.7727,0.3016,67.2952,1.0146,1.028,-0.001029601,0
1/30/2017,76.99,77.75,76.62,77.62,64.90377375,1359078,0,1,59.7064,58.2408,0.1437,7.8656,0.5096,0.5487,-0.0392,65.0125,0.5096,65.0836,64.9121,63.5041,64.8106,59.3145,1.2905,-50.1754,1.9883,65.547,2.7807,5.9746,95,90,313222146.6,0.9449,2352539.855,95792114,65.0431,62.3905,-5,65.4393,25.1041,1.756,0.5575,67.2952,0.7899,1.0278,-0.001545993,0
1/31/2017,77.6,78.58,76.81,77.5,64.80343295,1626785,0,1,59.7573,58.2484,0.1407,7.0086,0.4167,0.547,-0.1303,65.3093,0.4167,65.1328,64.9121,63.5331,64.8481,62.4591,1.3,-52.2807,2.006,65.477,3.0448,0.5117,90,85,312863702.4,1.48,2253994.933,94165329,65.0455,61.0563,-5,65.3155,24.2665,1.9148,-0.0565,67.2476,0.6457,1.0304,0.010322581,1
2/1/2017,77.8,78.58,77.56,78.3,65.47237161,1377713,0,1,59.8145,58.2562,0.1378,11.9196,0.3691,0.5314,-0.1623,65.3511,0.3691,65.1815,64.9121,63.578,64.8808,62.6324,1.2801,-38.2456,1.9552,65.535,3.1349,0.5117,85,80,313485024,0.9031,2206465.692,95543042,65.1025,61.7975,-5,65.3829,23.628,1.9901,0.4902,67.2004,0.5712,1.0313,-0.008684547,0
2/2/2017,77.88,78.3585,77.16,77.62,64.90377375,1150992,0,1,59.8654,58.2643,0.1343,6.8698,0.3824,0.512,-0.1297,65.3511,0.3824,65.2276,64.9121,63.5868,64.9161,59.2221,1.2662,-50.1754,1.9509,65.4788,0.5701,2.6694,80,75,313217563.6,1.0022,1901333.089,94392050,65.0959,58.8747,-5,65.2864,23.2081,0.3679,-0.2169,67.1537,0.5914,1.0057,0.003607318,0
2/3/2017,77.75,78.69,77.58,77.9,65.13790228,1012853,0,1,59.9181,58.2726,0.1305,8.6562,0.3862,0.4952,-0.109,65.3511,0.3862,65.2705,64.9121,63.5969,64.969,57.8568,1.2493,-45.2632,1.918,65.47,0.5421,0.0891,75,70,312788697.9,0.9282,1467200.389,95404903,65.1098,55.3454,-5,65.2643,22.7446,0.3512,0.1351,67.1074,0.5969,1.0054,0.007060334,0
2/6/2017,77.83,78.63,77.57,78.45,65.59779761,962288,0,1,59.9749,58.2811,0.1272,12.1408,0.4632,0.4905,-0.0272,65.3511,0.4632,65.3117,64.9121,63.6168,65.0403,57.6639,1.2312,-35.614,1.8768,65.5433,1.2258,0.0038,70,65,313424171.1,0.8863,1358414.815,96367191,65.1659,55.2927,-5,65.3623,22.1506,0.7944,0.5849,67.0616,0.7149,1.0123,-0.009687699,0
2/7/2017,77.97,78.715,77.43,77.69,64.96230588,1104090,0,1,60.0248,58.2898,0.1233,6.2454,0.4596,0.4797,-0.02,65.3511,0.4596,65.3493,64.9121,63.6315,65.1131,57.8853,1.2233,-48.9474,1.8831,65.4884,1.4097,1.2369,65,60,312766872.4,1.0745,981278.8696,95263101,65.1577,52.412,-5,65.2746,21.6171,0.9031,-0.2179,67.0163,0.7086,1.0141,0.002059467,0
2/8/2017,77.63,77.87,77.14,77.85,65.09609361,711283,0,1,60.0755,58.2987,0.1192,7.3251,0.45,0.4545,-0.0046,65.3511,0.45,65.3829,64.9121,63.642,65.162,55.107,1.1927,-46.1404,1.8322,65.463,0.6724,3.8382,60,55,313439181,0.6104,951705.182,95974384,65.1579,53.5734,-5,65.2346,21.4761,0.4348,0.3014,66.9714,0.6928,1.0067,0.008092486,0
2/9/2017,77.85,78.765,77.85,78.48,65.62288281,665071,0,1,60.131,58.3079,0.1156,11.547,0.3858,0.4247,-0.039,65.3511,0.3858,65.4142,64.9121,63.6577,65.1815,53.5622,1.1713,-35.0877,1.7849,65.5345,-0.7462,4.3465,55,50,313689945.4,0.7651,932876.899,96639455,65.2061,56.9761,-5,65.3363,21.2011,-0.4933,0.6885,66.927,0.5932,0.9925,0.011213048,1
2/10/2017,78.92,79.5,78.88,79.36,66.35871534,790199,0,1,60.1933,58.3173,0.1134,17.0999,0.3136,0.403,-0.0894,65.3511,0.3136,65.4469,64.9121,63.6889,65.2043,57.4461,1.1554,-19.6491,1.7411,65.7272,1.3279,10.4483,50,45,314123280.4,0.8529,978246.7265,97429654,65.3269,58.618,-5,65.608,21.0924,0.8696,0.7097,66.883,0.4817,1.0133,0.008820565,0
2/13/2017,79.64,80.41,79.52,80.06,66.94403667,916673,0,1,60.2608,58.327,0.113,21.2399,0.2146,0.3805,-0.1659,65.3511,0.2146,65.4856,64.9121,63.7645,65.2503,60.571,1.1415,-7.3684,1.7052,65.9969,2.786,17.3218,45,40,314318974.6,0.878,970141.9377,98346327,65.4992,60.8324,-5,65.9793,20.9157,1.8145,0.4719,62.529,0.3292,1.0279,0.006495129,0
2/14/2017,79.6,80.64,79.57,80.58,67.3788468,812465,0,1,60.3319,58.337,0.1143,24.2,0.3162,0.3746,-0.0584,65.4724,0.3162,65.5343,64.979,63.9336,65.3219,64.9161,1.1292,-1.0239,1.6759,66.3052,4.731,18.9763,40,100,315040322,0.8947,1108151.257,99158792,65.7043,66.3933,60,66.3915,20.7765,3.0437,0.9159,62.5761,0.4843,1.0473,0.003723008,0
